SL,Qseas,CDD,CWD,RD25,R25,RD50,R50,RX1,RX2,RX3,RX4,RX5,ET,PT,RI,RDs,Tmax,Tmin
38598462.14,1351.48,238,127,8,323.85,2,129.76,72,107.91,114.93,123.36,131.26,609.71,995.6,7.84,127,32.94,20.14
7533183.342,401.53,284,81,5,182.56,1,57.58,57.58,88.44,91.46,112.29,125.37,534.7,563.46,6.96,81,33.84,20.25
8852421.562,489.48,289,77,4,155.22,1,66.85,66.85,84.16,95.96,105.54,117.33,524.39,732.12,9.51,77,34.11,20.14
17951869.1,635.84,241,124,1,56.11,1,56.11,56.11,79.2,101.55,117.28,124.75,596.02,839.85,6.77,124,33.85,20.43
24936750.98,1349.99,258,107,9,322.74,1,65.58,65.58,99.96,116.32,121.03,133.64,571.46,932.18,8.71,107,33.27,20.22
3948396.397,279.41,269,96,5,157.28,0,0,37.85,74.91,84.75,92.5,109.34,525.29,702.37,7.32,96,33.84,20.19
40465423.84,803.97,294,71,6,337.32,3,234.45,92.06,148.42,165.65,175.66,185.57,530.54,765.03,10.78,71,34.26,20.56
7115718.228,589.63,258,107,4,162.69,1,61,61,80.72,90.4,100.4,105.15,549.74,809.76,7.57,107,34.05,20.51
11118185.81,275.64,265,101,2,72.14,0,0,46.02,72.14,81.76,91.68,97.08,579.26,664.53,6.58,101,34.25,20.21
6661938.068,459.53,264,101,4,140.69,0,0,45.52,62.6,78.97,96.81,105.84,547.67,744.49,7.37,101,33.81,19.91
26919647.08,1046.09,261,104,4,242.36,2,176.12,106.37,132.51,156.94,171.15,177.28,566.34,886.4,8.52,104,34.03,20.42
7874950.814,664.2,248,117,8,232.21,0,0,38.83,56.09,63.8,75.88,86.27,613.13,881.71,7.54,117,34.36,21.32
5232304.472,588.42,262,103,1,26.46,0,0,26.46,51.15,69.27,85.57,97.12,527.05,685.22,6.65,103,34.01,19.85
