Months,observed,simulated
1/1/1990,130.4574,956.5
2/1/1990,31.712,805.6
3/1/1990,12.0182,815.6
4/1/1990,0,602.8
5/1/1990,0,1248
6/1/1990,36922.8281,110200
7/1/1990,158081.3594,139000
8/1/1990,299233.9375,271100
9/1/1990,60131.9805,23610
10/1/1990,11240.7139,22920
11/1/1990,52.9278,1733
12/1/1990,684.9127,1791
1/1/1991,327.7871,1634
2/1/1991,200.1185,1418
3/1/1991,57.4715,1367
4/1/1991,12.6596,1225
5/1/1991,4.4229,1126
6/1/1991,60.5753,31180
7/1/1991,201356.5156,212100
8/1/1991,39121.1211,47470
9/1/1991,360.0942,2489
10/1/1991,10.0001,1409
11/1/1991,6.8037,2228
12/1/1991,132.6229,1389
1/1/1992,45.4341,1299
2/1/1992,34.1166,1109
3/1/1992,5.8878,989.1
4/1/1992,0,841.5
5/1/1992,0,866.4
6/1/1992,30.9465,8998
7/1/1992,1349.9834,36830
8/1/1992,119537.7578,143300
9/1/1992,12999.2666,18770
10/1/1992,49.33,7414
11/1/1992,14.7167,1216
12/1/1992,137.5287,1265
1/1/1993,52.6659,1205
2/1/1993,21.0691,1019
3/1/1993,39.7611,1276
4/1/1993,2.0871,789
5/1/1993,0,813.4
6/1/1993,5079.3052,33630
7/1/1993,501799.2188,204200
8/1/1993,48159.2344,47370
9/1/1993,36431.5156,56020
10/1/1993,5375.4971,17080
11/1/1993,36.0864,1537
12/1/1993,1366.7507,4352
1/1/1994,281.0199,1558
2/1/1994,187.6538,1352
3/1/1994,72.8195,1242
4/1/1994,34.3366,1157
5/1/1994,11.4658,1105
6/1/1994,6194.1343,57580
7/1/1994,62157.3359,115000
8/1/1994,110200.0625,132800
9/1/1994,232201,318500
10/1/1994,1180.8804,3855
11/1/1994,1021.9375,2054
12/1/1994,881.3498,1862
1/1/2000,74.9245,1714
2/1/2000,172.1568,1636
3/1/2000,78.3173,1716
4/1/2000,31.7358,1569
5/1/2000,12.1348,1723
6/1/2000,1232.9099,6365
7/1/2000,21410.9414,40090
8/1/2000,9068.4639,13840
9/1/2000,7060.1611,4915
10/1/2000,227.7441,2839
11/1/2000,59.1563,1728
12/1/2000,44.7845,1640
1/1/2001,102.612,2139
2/1/2001,24.9499,1441
3/1/2001,60.4042,1453
4/1/2001,44.7854,1345
5/1/2001,3.1091,1598
6/1/2001,5168.5854,72440
7/1/2001,1821.5963,19060
8/1/2001,145230.1563,42890
9/1/2001,5898.2876,13390
10/1/2001,7485.0229,6199
11/1/2001,405.4019,2011
12/1/2001,128.765,1753
1/1/2002,68.7164,1700
2/1/2002,76.0374,1792
3/1/2002,30.4473,1949
4/1/2002,3.4245,1483
5/1/2002,0,1430
6/1/2002,30443.1055,54520
7/1/2002,407.3793,33170
8/1/2002,22014.6992,23350
9/1/2002,80816.2188,70560
10/1/2002,746.48,5348
11/1/2002,1054.1935,3978
12/1/2002,100.1303,2266
1/1/2003,71.7744,1701
2/1/2003,46.5798,1543
3/1/2003,20.4245,1793
4/1/2003,7.7366,1495
5/1/2003,1.0065,1438
6/1/2003,1321.6061,3555
7/1/2003,46256.1406,32800
8/1/2003,17897.7949,60450
9/1/2003,20372.2676,10170
10/1/2003,5167.1494,11270
11/1/2003,1022.3793,1978
12/1/2003,332.128,1918
1/1/2004,117.4091,2002
2/1/2004,83.3461,1974
3/1/2004,30.745,1798
4/1/2004,10.3959,1634
5/1/2004,5.5068,1716
6/1/2004,270.1335,3176
7/1/2004,4951.1611,5836
8/1/2004,64727.3594,64180
9/1/2004,2588.5452,29500
10/1/2004,6343.5557,4410
11/1/2004,539.7162,2463
12/1/2004,146.5201,1951
1/1/2005,82.6606,1785
2/1/2005,81.2172,4348
3/1/2005,32.4458,2683
4/1/2005,2.8553,1621
5/1/2005,0,1851
6/1/2005,0,1641
7/1/2005,16759.1348,40230
8/1/2005,49544.3633,93170
9/1/2005,9702.959,71530
10/1/2005,1153.1414,23380
11/1/2005,355.8951,2461
12/1/2005,158.8901,2597
1/1/2006,67.0949,3060
2/1/2006,43.3418,2577
3/1/2006,162.9569,8462
4/1/2006,32.9988,3161
5/1/2006,0,2141
6/1/2006,93.2075,2451
7/1/2006,33061.3906,23120
8/1/2006,92606.5469,116900
9/1/2006,36816.9297,36380
10/1/2006,3413.9973,13990
11/1/2006,1062.209,4557
12/1/2006,243.9866,4760
1/1/2007,64.9281,4690
2/1/2007,37.7183,3953
3/1/2007,20.574,4134
4/1/2007,2.8965,3270
5/1/2007,0.1977,2977
6/1/2007,592.5936,5990
7/1/2007,481572.9375,472600
8/1/2007,205632.5156,139700
9/1/2007,30697.502,42280
10/1/2007,2943.5515,21140
11/1/2007,1019.7235,6853
12/1/2007,263.7951,6986
1/1/2008,63.5991,6811
2/1/2008,50.2756,5844
3/1/2008,86.6613,4729
4/1/2008,234.0717,3734
5/1/2008,165.5435,3083
6/1/2008,120.0699,5081
7/1/2008,10748.624,7396
8/1/2008,63596.9883,44280
9/1/2008,10374.7393,16700
10/1/2008,2457.0432,12800
11/1/2008,306.05,5928
12/1/2008,122.5512,6277
1/1/2009,70.3819,5761
2/1/2009,22.5309,4552
3/1/2009,186.7663,3496
4/1/2009,107.1832,2682
5/1/2009,34.3918,2241
6/1/2009,18.4984,2186
7/1/2009,32273.6348,90000
8/1/2009,9358.8545,38890
9/1/2009,7465.958,25750
10/1/2009,1583.3256,22570
11/1/2009,3963.4248,21220
12/1/2009,497.276,12040
1/1/2010,134.7432,6504
2/1/2010,964.3983,5203
3/1/2010,635.3503,4611
4/1/2010,44.3851,2918
5/1/2010,0,2639
6/1/2010,4.941,3451
7/1/2010,20671.3789,31230
8/1/2010,36402.2578,49600
9/1/2010,47594.4727,47230
10/1/2010,2318.3877,13290
11/1/2010,1791.976,16960
12/1/2010,560.6828,15960
1/1/2011,155.6306,8959
2/1/2011,33.5823,6922
3/1/2011,0,6411
4/1/2011,0,4290
5/1/2011,0,3698
6/1/2011,3597.885,10470
7/1/2011,26521.457,24280
8/1/2011,104154.9922,38880
9/1/2011,20751.1465,57350
10/1/2011,224.9753,14380
11/1/2011,202.2854,9143
12/1/2011,117.5932,9577
