Months,observed,simulated
1/1/1990,40.8005,22250
2/1/1990,4.6901,19160
3/1/1990,0,19680
4/1/1990,68.2905,17450
5/1/1990,196.3255,16620
6/1/1990,126588.8359,31870
7/1/1990,341755.875,250200
8/1/1990,670908.4375,697300
9/1/1990,113606.7734,92680
10/1/1990,15494.8516,69150
11/1/1990,102.6422,37360
12/1/1990,258.5088,28200
1/1/1991,21.9702,28230
2/1/1991,17.9241,24890
3/1/1991,29.8963,25880
4/1/1991,483.3013,23510
5/1/1991,222.1478,22720
6/1/1991,5722.8345,43980
7/1/1991,111224.0781,138000
8/1/1991,169950.3281,143400
9/1/1991,605.0072,25970
10/1/1991,80.1542,19760
11/1/1991,2.0571,18480
12/1/1991,0.7396,18080
1/1/1992,0,16830
2/1/1992,0,14460
3/1/1992,0,13920
4/1/1992,0,12040
5/1/1992,0,11130
6/1/1992,17978.7383,37810
7/1/1992,887.7569,18070
8/1/1992,243658.4375,284800
9/1/1992,27074.7051,91320
10/1/1992,6979.1455,79160
11/1/1992,92.3744,16450
12/1/1992,18.5294,15800
1/1/1993,0,15730
2/1/1993,0,13700
3/1/1993,0,14430
4/1/1993,0,12650
5/1/1993,0,11990
6/1/1993,7350.3506,10850
7/1/1993,488787.6875,197000
8/1/1993,52970.5273,58700
9/1/1993,31319.8633,104800
10/1/1993,7952.79,72770
11/1/1993,55.2906,21720
12/1/1993,101.7064,23910
1/1/1994,29.0096,18550
2/1/1994,0,16330
3/1/1994,0,17030
4/1/1994,0,15510
5/1/1994,0,14840
6/1/1994,11099.54,16710
7/1/1994,98951.75,227800
8/1/1994,42617.9805,212700
9/1/1994,675227.5625,660300
10/1/1994,178.041,26430
11/1/1994,17.7148,25660
12/1/1994,118.2633,26840
1/1/2000,2.554,14310
2/1/2000,0,13350
3/1/2000,0,12340
4/1/2000,0,10620
5/1/2000,8700.6348,11110
6/1/2000,33693.9531,22520
7/1/2000,139514.5313,192100
8/1/2000,23764.4004,53670
9/1/2000,10742.0938,12310
10/1/2000,13.3875,9997
11/1/2000,0,9412
12/1/2000,0,9736
1/1/2001,0,9458
2/1/2001,0,7276
3/1/2001,0,6541
4/1/2001,0,5651
5/1/2001,0,4991
6/1/2001,53580.3047,103400
7/1/2001,1169.4106,12180
8/1/2001,108290.7578,128300
9/1/2001,753.5363,8364
10/1/2001,13275.1719,122300
11/1/2001,203.0775,7530
12/1/2001,0,8120
1/1/2002,0,8221
2/1/2002,0,7221
3/1/2002,0,6406
4/1/2002,0,5535
5/1/2002,0,5271
6/1/2002,316260.9063,202100
7/1/2002,2435.2097,16410
8/1/2002,438651.3438,262900
9/1/2002,651563.6875,406400
10/1/2002,784.4359,19760
11/1/2002,307.8635,9335
12/1/2002,0,8569
1/1/2003,0,8475
2/1/2003,0,7141
3/1/2003,0,6563
4/1/2003,0,5443
5/1/2003,0,5549
6/1/2003,20370.3945,15890
7/1/2003,91650.5078,181000
8/1/2003,120366.0703,187400
9/1/2003,54406.9453,142500
10/1/2003,18093.3984,41630
11/1/2003,281.4475,10190
12/1/2003,1.0444,11710
1/1/2004,0,12200
2/1/2004,0,10910
3/1/2004,0,9620
4/1/2004,0,8686
5/1/2004,0,9556
6/1/2004,123.9191,11680
7/1/2004,371.0425,19150
8/1/2004,374595.5938,183900
9/1/2004,7507.1914,59290
10/1/2004,2073.1265,15990
11/1/2004,14.1174,9313
12/1/2004,0,9779
1/1/2005,0,10090
2/1/2005,0,8211
3/1/2005,0,8349
4/1/2005,0,6490
5/1/2005,0,6152
6/1/2005,0,89790
7/1/2005,23364.1992,93040
8/1/2005,204332.7969,174500
9/1/2005,45600.2656,204700
10/1/2005,1892.2804,17790
11/1/2005,66.604,9662
12/1/2005,0,10440
1/1/2006,0,10810
2/1/2006,0,8903
3/1/2006,0,27940
4/1/2006,0,7445
5/1/2006,0,7330
6/1/2006,0,7997
7/1/2006,190609.3438,187500
8/1/2006,942899.25,964100
9/1/2006,101480.7344,179700
10/1/2006,54047.6953,135900
11/1/2006,2526.9595,17480
12/1/2006,160.7993,18840
1/1/2007,13.3873,19340
2/1/2007,0,16910
3/1/2007,0,17000
4/1/2007,0,15220
5/1/2007,0,15160
6/1/2007,281.7849,22060
7/1/2007,664378.4375,488000
8/1/2007,210691.3906,220800
9/1/2007,75114.3828,201700
10/1/2007,4986.6162,23190
11/1/2007,1186.5909,18510
12/1/2007,76.5695,19650
1/1/2008,0,19460
2/1/2008,0,17160
3/1/2008,0,16200
4/1/2008,0,14240
5/1/2008,0,13440
6/1/2008,0,12960
7/1/2008,1354.3574,21490
8/1/2008,106992.9141,37770
9/1/2008,73525.7813,179500
10/1/2008,4442.459,16600
11/1/2008,0,11070
12/1/2008,0,11690
1/1/2009,0,11180
2/1/2009,0,9310
3/1/2009,0,8205
4/1/2009,0,7239
5/1/2009,0,6846
6/1/2009,0,9457
7/1/2009,95279.6484,118300
8/1/2009,599.5012,49800
9/1/2009,73961.4453,126300
10/1/2009,343.0201,61240
11/1/2009,0,170100
12/1/2009,0,11670
1/1/2010,0,10600
2/1/2010,0,8478
3/1/2010,0,8043
4/1/2010,0,6869
5/1/2010,0,6837
6/1/2010,0,9301
7/1/2010,45276.1406,138400
8/1/2010,182279.4219,232500
9/1/2010,148883.6563,146600
10/1/2010,0,23870
11/1/2010,0,34460
12/1/2010,0,16370
1/1/2011,0,16250
2/1/2011,0,14060
3/1/2011,0,14090
4/1/2011,0,12610
5/1/2011,0,11970
6/1/2011,208.3261,13150
7/1/2011,38435.4648,46700
8/1/2011,101284.5313,170300
9/1/2011,31981.1738,146300
10/1/2011,0,14940
11/1/2011,0,15090
12/1/2011,0,16430
