Months,observed,simulated
1/1/1990,59.1698,0
2/1/1990,57.9331,0
3/1/1990,39.3036,0
4/1/1990,18.1096,0
5/1/1990,1.221,62.12
6/1/1990,34016.5039,32530
7/1/1990,8086.2178,30540
8/1/1990,4928.5557,29800
9/1/1990,3788.6707,272.9
10/1/1990,1070.6504,1682
11/1/1990,88.0766,0
12/1/1990,1309.5758,67.69
1/1/1991,772.3749,0
2/1/1991,221.6177,0
3/1/1991,130.6944,0
4/1/1991,64.6468,0
5/1/1991,0,0
6/1/1991,1227.8605,19550
7/1/1991,737.5074,9623
8/1/1991,4289.9292,2545
9/1/1991,50.1835,0
10/1/1991,2.8475,0
11/1/1991,6.9924,106.4
12/1/1991,19.1799,0
1/1/1992,5.7951,0
2/1/1992,0,0
3/1/1992,0,0
4/1/1992,0,0
5/1/1992,0,0
6/1/1992,3140.2053,19130
7/1/1992,623.8949,2508
8/1/1992,42667.9219,57090
9/1/1992,6840.6978,3724
10/1/1992,47.8526,2512
11/1/1992,2.7226,0
12/1/1992,125.5568,0
1/1/1993,118.097,0
2/1/1993,111.5147,0
3/1/1993,646.0175,1254
4/1/1993,68.573,0
5/1/1993,35.3899,0
6/1/1993,168.0493,2817
7/1/1993,58991.3242,25470
8/1/1993,1294.0405,1595
9/1/1993,1465.1493,2419
10/1/1993,425.8073,2995
11/1/1993,7.2758,0
12/1/1993,106.3675,126.8
1/1/1994,91.3766,0
2/1/1994,123.5336,0
3/1/1994,28.794,0
4/1/1994,12.0599,0
5/1/1994,0,0
6/1/1994,429.4355,4073
7/1/1994,7976.415,55110
8/1/1994,14207.3662,23630
9/1/1994,72183.0547,31600
10/1/1994,901.7926,1372
11/1/1994,31.5847,0
12/1/1994,329.5388,0
1/1/2000,130.0855,5042
2/1/2000,95.5906,5014
3/1/2000,93.8408,6787
4/1/2000,26.4479,4804
5/1/2000,0,5348
6/1/2000,1226.6788,11550
7/1/2000,12582.2529,86190
8/1/2000,1289.6239,43700
9/1/2000,283.9702,15580
10/1/2000,136.141,7158
11/1/2000,17.4727,5834
12/1/2000,0,5529
1/1/2001,0,6600
2/1/2001,0,4810
3/1/2001,0,5517
4/1/2001,0,4729
5/1/2001,0,4397
6/1/2001,5213.1626,88850
7/1/2001,113.7297,32140
8/1/2001,19329.9961,32760
9/1/2001,1008.5551,18980
10/1/2001,10672.3369,50140
11/1/2001,206.9989,7839
12/1/2001,17.2387,5545
1/1/2002,10.4738,5521
2/1/2002,33.2566,4898
3/1/2002,0.705,5224
4/1/2002,0,4829
5/1/2002,0,4694
6/1/2002,15211.7803,54830
7/1/2002,115.1254,55540
8/1/2002,76205.3359,50690
9/1/2002,150556.9219,99390
10/1/2002,336.5434,19240
11/1/2002,362.233,10090
12/1/2002,13.0756,5359
1/1/2003,0,5145
2/1/2003,0,4495
3/1/2003,0,4755
4/1/2003,0,4335
5/1/2003,0,4217
6/1/2003,28.165,8322
7/1/2003,3584.9158,22750
8/1/2003,1599.7108,43160
9/1/2003,2337.6084,15340
10/1/2003,1829.4432,23380
11/1/2003,50.9344,6933
12/1/2003,0,4809
1/1/2004,0,4734
2/1/2004,0,5808
3/1/2004,0,4681
4/1/2004,0,4053
5/1/2004,0,4315
6/1/2004,56.6707,6484
7/1/2004,332.5322,19790
8/1/2004,3816.7534,22850
9/1/2004,1841.9371,9703
10/1/2004,348.1273,7380
11/1/2004,12.3648,4539
12/1/2004,0,3748
1/1/2005,0,3679
2/1/2005,0,3645
3/1/2005,0,7541
4/1/2005,0,4425
5/1/2005,0,2919
6/1/2005,0,4444
7/1/2005,4110.5586,35560
8/1/2005,58090.1094,89950
9/1/2005,5822.4956,34910
10/1/2005,931.8406,25050
11/1/2005,240.7973,7782
12/1/2005,6.3085,4781
1/1/2006,0,4830
2/1/2006,0,4342
3/1/2006,167.6806,26570
4/1/2006,0,9524
5/1/2006,0,4477
6/1/2006,0,5507
7/1/2006,105540.7031,53390
8/1/2006,286693.8438,204600
9/1/2006,19488.0527,36840
10/1/2006,26337.041,62660
11/1/2006,548.4954,9053
12/1/2006,211.1953,6134
1/1/2007,145.2262,6114
2/1/2007,36.713,5453
3/1/2007,14.6399,5825
4/1/2007,7.9095,5352
5/1/2007,0,5236
6/1/2007,336.6095,7880
7/1/2007,218621.1875,118700
8/1/2007,104347.125,65800
9/1/2007,32875.918,55980
10/1/2007,3283.2705,27100
11/1/2007,593.8478,7299
12/1/2007,161.123,7230
1/1/2008,179.1935,7299
2/1/2008,42.0401,6677
3/1/2008,38.5337,6979
4/1/2008,33.4978,6618
5/1/2008,3.4545,6182
6/1/2008,360.9301,7614
7/1/2008,1509.0382,10370
8/1/2008,2930.1399,19830
9/1/2008,16907.8457,23590
10/1/2008,240.9632,19240
11/1/2008,23.6047,6323
12/1/2008,1.2978,5707
1/1/2009,0.0133,5575
2/1/2009,0,4858
3/1/2009,0,5107
4/1/2009,0,4657
5/1/2009,0,4549
6/1/2009,2.1084,6146
7/1/2009,10970.9404,23890
8/1/2009,5015.063,27140
9/1/2009,3639.2314,27690
10/1/2009,284.1711,13740
11/1/2009,552.3785,19930
12/1/2009,1036.5417,8957
1/1/2010,0,7686
2/1/2010,0,5370
3/1/2010,0,5194
4/1/2010,0,4644
5/1/2010,0,4270
6/1/2010,531.916,9325
7/1/2010,42932.6836,56240
8/1/2010,91701.8047,84860
9/1/2010,47990.4883,57980
10/1/2010,1895.3276,17900
11/1/2010,1154.8838,20510
12/1/2010,325.3165,9803
1/1/2011,0,7323
2/1/2011,0,6514
3/1/2011,0,7032
4/1/2011,0,6532
5/1/2011,0,6408
6/1/2011,0,9573
7/1/2011,5241.0474,23470
8/1/2011,17796.9434,22710
9/1/2011,18847.6211,50660
10/1/2011,61.6719,12420
11/1/2011,31.8441,6811
12/1/2011,0,6893
